TI,PY,SO,DI,topic,topic_terms
Determinants of resistance and response to melanoma therapy,2024,NATURE CANCER,10.1038/s43018-024-00794-1,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Role of drug catabolism, modulation of oncogenic signaling and tumor microenvironment in microbe-mediated pancreatic cancer chemoresistance",2022,DRUG RESISTANCE UPDATES,10.1016/j.drup.2022.100864,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
The epidemiology of Clostridium difficile infection in patients with cancer,2016,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,10.1080/14787210.2016.1234376,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
The impact of technical and clinical factors on fecal microbiota transfer outcomes for the treatment of recurrent Clostridioides difficile infections in Germany,2019,UNITED EUROPEAN GASTROENTEROLOGY JOURNAL,10.1177/2050640619839918,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Anticancer Effect of Puerarin on Ovarian Cancer Progression Contributes to the Tumor Suppressor Gene Expression and Gut Microbiota Modulation,2022,JOURNAL OF IMMUNOLOGY RESEARCH,10.1155/2022/4472509,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Bacteria-Mediated Modulatory Strategies for Colorectal Cancer Treatment,2022,BIOMEDICINES,10.3390/biomedicines10040832,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Tumor heterogeneity and clonal cooperation influence the immune selection of IFN-γ-signaling mutant cancer cells,2020,NATURE COMMUNICATIONS,10.1038/s41467-020-14290-4,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Combination gut microbiota modulation and chemotherapy for orthotopic colorectal cancer therapy,2021,NANO TODAY,10.1016/j.nantod.2021.101329,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Negative impact of antibiotic administration on the clinical activity in patients with advanced gastric cancer,2021,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,10.1080/13102818.2021.1953400,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The hallmarks of successful anticancer immunotherapy,2018,SCIENCE TRANSLATIONAL MEDICINE,10.1126/scitranslmed.aat7807,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"21ST ANNUAL MEETING OF THE EUROPEAN SOCIETY FOR PIGMENT CELL RESEARCH (ESPCR), RENNES, FRANCE 24TH-27TH SEPTEMBER 2018 ABSTRACTS",2018,PIGMENT CELL & MELANOMA RESEARCH,,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Mechanisms of drug resistance in HCC,2024,HEPATOLOGY,10.1097/HEP.0000000000000237,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
"The effect of the intratumoral microbiome on tumor occurrence, progression, prognosis and treatment",2022,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2022.1051987,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Mechanisms of Anti-PD Therapy Resistance in Digestive System Neoplasms,2025,RECENT PATENTS ON ANTI-CANCER DRUG DISCOVERY,10.2174/0115748928269276231120103256,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Peripheral Immune-Inflammatory Pathways in Major Depressive Disorder, Bipolar Disorder, and Schizophrenia: Exploring Their Potential as Treatment Targets",2025,CNS DRUGS,10.1007/s40263-025-01195-3,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Fusobacterium nucleatum Promotes Chemoresistance to Colorectal Cancer by Modulating Autophagy,2017,CELL,10.1016/j.cell.2017.07.008,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Potential role of intratumor bacteria outside the gastrointestinal tract: More than passengers,2023,CANCER MEDICINE,10.1002/cam4.6298,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Integrative mendelian randomization and multi-omics analysis reveal a gut microbiota-metabolite-CXCL10 axis in breast cancer,2025,AMB EXPRESS,10.1186/s13568-025-01989-0,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Yin and Yang of Polyphenols in Cancer Prevention: A Short Review,2016,ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY,10.2174/1871520616666151116124549,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fusobacterium nucleatum promotes esophageal squamous cell carcinoma progression and chemoresistance by enhancing the secretion of chemotherapy-induced senescence-associated secretory phenotype via activation of DNA damage response pathway,2023,GUT MICROBES,10.1080/19490976.2023.2197836,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Anticancer Effects of Gut Microbiota-Derived Short-Chain Fatty Acids in Cancers,2023,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,10.4014/jmb.2301.01031,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Integrated Analysis of Colorectal Cancer Reveals Cross-Cohort Gut Microbial Signatures and Associated Serum Metabolites,2022,GASTROENTEROLOGY,10.1053/j.gastro.2022.06.069,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Beyond Antibiotics: What the Future Holds,2024,ANTIBIOTICS-BASEL,10.3390/antibiotics13100919,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Safety and efficacy of fecal microbiota transplantation for viral diseases: A systematic review of clinical trials,2024,PLOS ONE,10.1371/journal.pone.0311731,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Probiotics functionalized with a gallium-polyphenol network modulate the intratumor microbiota and promote anti-tumor immune responses in pancreatic cancer,2024,NATURE COMMUNICATIONS,10.1038/s41467-024-51534-z,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Intratumoral Fusobacterium nucleatum in Pancreatic Cancer: Current and Future Perspectives,2025,PATHOGENS,10.3390/pathogens14010002,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Resistant Starch-Encapsulated Probiotics Attenuate Colorectal Cancer Cachexia and 5-Fluorouracil-Induced Microbial Dysbiosis,2024,BIOMEDICINES,10.3390/biomedicines12071450,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Pancreatic Cancer Meets Human Microbiota: Close Encounters of the Third Kind,2021,CANCERS,10.3390/cancers13061231,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Cannabidiol Inhibits Epithelial Ovarian Cancer: Role of Gut Microbiome,2024,JOURNAL OF NATURAL PRODUCTS,10.1021/acs.jnatprod.3c00782,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Shenling Baizhu Decoction (SLBZD) may play a synergistic role of tirelizumab in the treatment of colorectal cancer by influencing the imbalance of colon flora and Tumor microenvironment,2024,JOURNAL OF CANCER,10.7150/jca.88854,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Clinical research, mechanisms, and prospects of flavonoids from Herba Patriniae in the treatment of colorectal cancer",2025,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2025.1633286,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Multifaceted modes of action of the anticancer probiotic Enterococcus hirae,2021,CELL DEATH AND DIFFERENTIATION,10.1038/s41418-021-00753-8,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbiota enterotoxigenic Bacteroides fragilis-secreted BFT-1 promotes breast cancer cell stemness and chemoresistance through its functional receptor NOD1,2024,PROTEIN & CELL,10.1093/procel/pwae005,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Effect of Radiation and Chemoradiation Therapy on the Head and Neck Mucosal Microbiome: A Review,2021,FRONTIERS IN ONCOLOGY,10.3389/fonc.2021.784457,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Inhalable Capsular Polysaccharide-Camouflaged Gallium-Polyphenol Nanoparticles Enhance Lung Cancer Chemotherapy by Depleting Local Lung Microbiota,2023,ADVANCED MATERIALS,10.1002/adma.202302551,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The Influence of the Microbiome on the Complications of Radiotherapy and Its Effectiveness in Patients with Laryngeal Cancer,2024,CANCERS,10.3390/cancers16213707,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Influence of Fusobacterium nucleatum on Tumor Necrosis Factor Alpha Therapy in Ulcerative Colitis,2025,MEDIATORS OF INFLAMMATION,10.1155/mi/5035877,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Blocking Fusobacterium nucleatum-host cell interactions with responsive supramolecular GalNAc-derived nanoplatform for enhanced chemotherapy in colorectal cancer,2024,NANO TODAY,10.1016/j.nantod.2024.102288,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Gut Microbiota-Mediated Bile Acid Transformations Alter the Cellular Response to Multidrug Resistant Transporter Substrates in Vitro: Focus on P-glycoprotein,2018,MOLECULAR PHARMACEUTICS,10.1021/acs.molpharmaceut.8b00875,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Recent Advances in Nanomedicine for Modulating Intratumoral Bacteria in Cancer Therapy,2025,MOLECULAR PHARMACEUTICS,10.1021/acs.molpharmaceut.5c00677,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Short-Chain Fatty Acid Production by Gut Microbiota Predicts Treatment Response in Multiple Myeloma,2024,CLINICAL CANCER RESEARCH,10.1158/1078-0432.CCR-23-0195,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Unraveling the role of gut microbiota and immune cells in thyroid cancer and tumor drug resistance,2024,DISCOVER ONCOLOGY,10.1007/s12672-024-01585-x,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Successful treatment of fulminant Clostridioides difficile infection with emergent fecal microbiota transplantation in a patient with acute myeloid leukemia and prolonged, severe neutropenia",2020,TRANSPLANT INFECTIOUS DISEASE,10.1111/tid.13216,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Beyond` Tissue Stiffness and Bioadhesivity: Advanced Biomaterials to Model Tumor Microenvironments and Drug Resistance,2018,TRENDS IN CANCER,10.1016/j.trecan.2018.01.008,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Gastric Acid-Responsive ROS Nanogenerators for Effective Treatment of Helicobacter pylori Infection without Disrupting Homeostasis of Intestinal Flora,2023,ADVANCED SCIENCE,10.1002/advs.202206957,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Significant changes in gut microbiota and SCFAs among patients with newly diagnosed acute myeloid leukemia,2025,FRONTIERS IN MICROBIOLOGY,10.3389/fmicb.2025.1559033,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Xihuang Pill enhances anticancer effect of anlotinib by regulating gut microbiota composition and tumor angiogenesis pathway,2022,BIOMEDICINE & PHARMACOTHERAPY,10.1016/j.biopha.2022.113081,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Circadian Rhythm Shapes the Gut Microbiota Affecting Host Radiosensitivity,2016,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms17111786,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Autophagy: A Versatile Player in the Progression of Colorectal Cancer and Drug Resistance,2022,FRONTIERS IN ONCOLOGY,10.3389/fonc.2022.924290,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Dysregulation of ILC3s unleashes progression and immunotherapy resistance in colon cancer,2021,CELL,10.1016/j.cell.2021.07.029,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Emerging role of RNF2 in cancer: From bench to bedside,2021,JOURNAL OF CELLULAR PHYSIOLOGY,10.1002/jcp.30260,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Extracellular vesicles in Inter-Kingdom communication in gastrointestinal cancer,2021,AMERICAN JOURNAL OF CANCER RESEARCH,,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Integrated In Vitro and In Silico Modeling Delineates the Molecular Effects of a Synbiotic Regimen on Colorectal-Cancer-Derived Cells,2019,CELL REPORTS,10.1016/j.celrep.2019.04.001,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Tumor-associated macrophages in colon cancer immunotherapy: mechanisms, natural product interventions, and microenvironment remodeling",2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1642091,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Characterization of Butyrate-Resistant Colorectal Cancer Cell Lines and the Cytotoxicity of Anticancer Drugs against These Cells,2022,BIOMED RESEARCH INTERNATIONAL,10.1155/2022/6565300,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Delivery of short chain fatty acid butyrate to overcome Fusobacterium nucleatum-induced chemoresistance,2023,JOURNAL OF CONTROLLED RELEASE,10.1016/j.jconrel.2023.09.028,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Targeting purine metabolism-related enzymes for therapeutic intervention: A review from molecular mechanism to therapeutic breakthrough,2024,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,10.1016/j.ijbiomac.2024.136828,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
How to Determine the Role of the Microbiome in Drug Disposition,2018,DRUG METABOLISM AND DISPOSITION,10.1124/dmd.118.083402,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"The correlation between gut and intra-tumor microbiota and PDAC: Etiology, diagnostics and therapeutics",2023,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,10.1016/j.bbcan.2023.188943,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Crosstalk between gut microbiota and cancer chemotherapy: current status and trends,2024,DISCOVER ONCOLOGY,10.1007/s12672-024-01704-8,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Metabolite interactions between host and microbiota during health and disease: Which feeds the other?,2023,BIOMEDICINE & PHARMACOTHERAPY,10.1016/j.biopha.2023.114295,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Effect of Nematodes-Bacteria Complex Metabolites on Cancer and Tumor Progression,2025,BIOMOLECULES,10.3390/biom15081165,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut microbiome is associated with radiotherapy response in lung cancer patients with brain metastases,2025,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,10.3389/fcimb.2025.1562831,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Lactobacillus rhamnosus GG Orchestrates an Antitumor Immune Response,2021,CELLULAR AND MOLECULAR GASTROENTEROLOGY AND HEPATOLOGY,10.1016/j.jcmgh.2021.06.001,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
METTL3 mediates m6A methylation modification of ULBP2 and affects the progression of cervical cancer,2025,HEREDITAS,10.1186/s41065-025-00483-8,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Effect of Hepatic Impairment on the Pharmacokinetics of Baicalin in Rats: Critical Roles of Gut Microbiota and Hepatic Transporters,2025,PHARMACEUTICS,10.3390/pharmaceutics17070851,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Microbiota and cancer: host cellular mechanisms activated by gut microbial metabolites,2020,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,10.1016/j.ijmm.2020.151425,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Deciphering the mechanism of Peptostreptococcus anaerobius-induced chemoresistance in colorectal cancer: the important roles of MDSC recruitment and EMT activation,2023,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2023.1230681,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Proteomic analysis of small intestinal epithelial cells in antibiotic-treated mice: Changes in drug transporters and metabolizing enzymes,2019,DRUG METABOLISM AND PHARMACOKINETICS,10.1016/j.dmpk.2019.01.001,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Effects of the ketogenic diet on skin-potential benefits and risks,2025,FRONTIERS IN NUTRITION,10.3389/fnut.2025.1686056,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Role of interleukin-6-mediated inflammation in the pathogenesis of inflammatory bowel disease: focus on the available therapeutic approaches and gut microbiome,2023,JOURNAL OF CELL COMMUNICATION AND SIGNALING,10.1007/s12079-022-00695-x,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Adaptation of the gut holobiont to malnutrition during mouse pregnancy depends on the type of nutritional adversity,2023,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,10.1016/j.jnutbio.2022.109172,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Glycyrrhiza uralensis Fisch. Attenuates Dioscorea bulbifera L.-induced liver injury by regulating the FXR/Nrf2-BAs-related proteins and intestinal microbiota,2025,JOURNAL OF ETHNOPHARMACOLOGY,10.1016/j.jep.2025.119319,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Fecal Microbiota Transplantation Alleviates Severe PD-1 Inhibitor-Associated Colitis Caused by Neoadjuvant Therapy for Esophageal Cancer,2024,GASTROENTEROLOGY NURSING,10.1097/SGA.0000000000000794,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Tumor-resident microorganisms as clinical biomarkers in primary liver cancer: A systematic review of current evidence,2025,WORLD JOURNAL OF GASTROINTESTINAL ONCOLOGY,10.4251/wjgo.v17.i12.112936,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gut microbial bile and amino acid metabolism associate with peanut oral immunotherapy failure,2025,NATURE COMMUNICATIONS,10.1038/s41467-025-61161-x,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fusobacterium nucleatum Acts as a Pro-carcinogenic Bacterium in Colorectal Cancer: From Association to Causality,2021,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,10.3389/fcell.2021.710165,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Non-traditional Antibacterial Therapeutic Options and Challenges,2019,CELL HOST & MICROBE,10.1016/j.chom.2019.06.004,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Adrenomedullin: Not Just Another Gastrointestinal Peptide,2022,BIOMOLECULES,10.3390/biom12020156,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Intratumor microbiome-derived butyrate promotes chemo-resistance in colorectal cancer,2025,FRONTIERS IN PHARMACOLOGY,10.3389/fphar.2024.1510851,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Spatial Heterogeneity of Intratumoral Microbiota: A New Frontier in Cancer Immunotherapy Resistance,2025,BIOMEDICINES,10.3390/biomedicines13051261,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbial metabolites and their influence on the tumor microenvironment,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1675677,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Oncobiome at the Forefront of a Novel Molecular Mechanism to Understand the Microbiome and Cancer,2019,TRANSLATIONAL RESEARCH AND ONCO-OMICS APPLICATIONS IN THE ERA OF CANCER PERSONAL GENOMICS,10.1007/978-3-030-24100-1_10,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Updates on Candida albicans infections: pathogenesis, resistance, and emerging nanopharmaceutical strategies",2025,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,10.1080/14787210.2025.2569831,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Gut microbiome composition can predict the response to nivolumab in advanced hepatocellular carcinoma patients,2021,WORLD JOURNAL OF GASTROENTEROLOGY,10.3748/wjg.v27.i42.7340,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The complexity of cancer immunotherapy illustrated through skin tumors,2022,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,10.1177/03936155221088884,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Quinoa and Colonic Health: A Review of Bioactive Components and Mechanistic Insights,2025,CURRENT ISSUES IN MOLECULAR BIOLOGY,10.3390/cimb47100815,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Unraveling the pharmaceutical excipient-drug interactions: The effects of polyethylene glycol copolymers on drug metabolism and transport systems,2025,INTERNATIONAL JOURNAL OF PHARMACEUTICS,10.1016/j.ijpharm.2025.125758,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Novel therapeutic strategy for cancer and autoimmune conditions: Modulating cell metabolism and redox capacity,2018,PHARMACOLOGY & THERAPEUTICS,10.1016/j.pharmthera.2018.06.010,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Integrating alternative therapies in overcoming chemotherapy resistance in tumors,2025,MOLECULAR BIOLOGY REPORTS,10.1007/s11033-025-10361-1,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Sonosensitizer-doped framework theranostic nanoprobe for enhanced spatiotemporal eradication of helicobacter pylori with photoacoustic imaging guidance,2025,ACTA BIOMATERIALIA,10.1016/j.actbio.2025.06.008,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Crosstalk between neutrophil extracellular traps and gut microbiota in ulcerative colitis: traditional Chinese medicine strategies,2025,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,10.3389/fcimb.2025.1692312,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Cancer Resistance to Immunotherapy: Molecular Mechanisms and Tackling Strategies,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms231810906,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Case report of clostridium difficile infection after rectal resection with ileostomy,2025,WORLD JOURNAL OF SURGICAL ONCOLOGY,10.1186/s12957-025-03713-5,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Host and microbiome lipid metabolism in colorectal cancer development and therapy,2025,TRENDS IN CANCER,10.1016/j.trecan.2025.08.005,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
The huge clinical potential of microbiota in the treatment of pancreatic cancer: The next frontier,2022,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,10.1016/j.bbcan.2022.188733,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Lactobacillus-derived metabolites enhance the antitumor activity of 5-FU and inhibit metastatic behavior in 5-FU-resistant colorectal cancer cells by regulating claudin-1 expression,2020,JOURNAL OF MICROBIOLOGY,10.1007/s12275-020-0375-y,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Fecal Microbiota Transplantation Is Safe for Clostridiodies difficile Infection in Patients with Solid Tumors Undergoing Chemotherapy,2022,DIGESTIVE DISEASES AND SCIENCES,10.1007/s10620-021-07024-z,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
The Microbiome in PDAC-Vantage Point for Future Therapies?,2022,CANCERS,10.3390/cancers14235974,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Resident Bacteria in Breast Cancer Tissue: Pathogenic Agents or Harmless Commensals?,2018,DISCOVERY MEDICINE,,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Updated outcomes and exploratory analysis of RENMIN-215: tislelizumab plus fruquintinib and fecal microbiota transplantation in refractory microsatellite stable metastatic colorectal cancer,2024,AMERICAN JOURNAL OF CANCER RESEARCH,10.62347/XKUJ3012,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Blueprint for cancer research: Critical gaps and opportunities,2021,CA-A CANCER JOURNAL FOR CLINICIANS,10.3322/caac.21652,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Disentangling the molecular mystery of tumour-microbiota interactions: Microbial metabolites,2024,CLINICAL AND TRANSLATIONAL MEDICINE,10.1002/ctm2.70093,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Advances in ovarian cancer: biological insights, therapeutic innovations, and future perspectives",2025,JOURNAL OF OVARIAN RESEARCH,10.1186/s13048-025-01921-x,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Epithelial chemerin-CMKLR1 signaling restricts microbiota-driven colonic neutrophilia and tumorigenesis by up-regulating lactoperoxidase,2022,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.2205574119,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Therapeutic potential of rifaximin in liver diseases,2024,BIOMEDICINE & PHARMACOTHERAPY,10.1016/j.biopha.2024.117283,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Prospects of Probiotic Adjuvant Drugs in Clinical Treatment,2022,NUTRIENTS,10.3390/nu14224723,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
